RFRFFGWAFMHBFHYJ,ahd bla,100
RFRFFGWAFMHBFHYJ,blr anekal,23.4
RFRFFGWAFMHBFHYJ,blr jigni,15.6
RFRFFGWAFMHBFHYJ,mum ant,93.8
RFRFFGWAFMHBFHYJ,mum pdg,40.2
RFRFFGWAFMHBFHYJ,chn thv,47
RFRFFGWAFMHBFHYJ,Del jjr,31.8
RFRFFGWAFMHBFHYJ,del tauru01,15.9
RFRFFGWAFMHBFHYJ,del tauru 04,5.3
RFRFFGWAFMHBFHYJ,noi gtm,16
RFRFFGWAFMHBFHYJ,Guwahati,10
RFRFFGWAFMHBFHYJ,hyd kpr,47
RFRFFGWAFMHBFHYJ,hyd mrb02,28.2
RFRFFGWAFMHBFHYJ,hyd mrb03,18.8
RFRFFGWAFMHBFHYJ,kol hoogly,43.8
RFRFFGWAFMHBFHYJ,kol mlb,29.2
RFRFFGWAFMHBFHYJ,lko ntk,6
RFRFFGWAFMHBFHYJ,Patna,10
RFRFFGWAFMHBFHYJ,cjb mdk,17
RFRFFGWAFMHBFHYJ,luh mdp,0
RFRFFGWADUNHN6ZG,ahd bla,20
RFRFFGWADUNHN6ZG,blr anekal,32.4
RFRFFGWADUNHN6ZG,blr jigni,21.6
RFRFFGWADUNHN6ZG,mum ant,49.7
RFRFFGWADUNHN6ZG,mum pdg,21.3
RFRFFGWADUNHN6ZG,chn thv,17
RFRFFGWADUNHN6ZG,Del jjr,52.8
RFRFFGWADUNHN6ZG,del tauru01,26.4
RFRFFGWADUNHN6ZG,del tauru 04,8.8
RFRFFGWADUNHN6ZG,noi gtm,30
RFRFFGWADUNHN6ZG,Guwahati,0
RFRFFGWADUNHN6ZG,hyd kpr,31.5
RFRFFGWADUNHN6ZG,hyd mrb02,18.9
RFRFFGWADUNHN6ZG,hyd mrb03,12.6
RFRFFGWADUNHN6ZG,kol hoogly,0
RFRFFGWADUNHN6ZG,kol mlb,0
RFRFFGWADUNHN6ZG,lko ntk,3
RFRFFGWADUNHN6ZG,Patna,7
RFRFFGWADUNHN6ZG,cjb mdk,13
RFRFFGWADUNHN6ZG,luh mdp,0
RFRFE59UMPRD657A,ahd bla,12
RFRFE59UMPRD657A,blr anekal,31.2
RFRFE59UMPRD657A,blr jigni,20.8
RFRFE59UMPRD657A,mum ant,27.3
RFRFE59UMPRD657A,mum pdg,11.7
RFRFE59UMPRD657A,chn thv,29
RFRFE59UMPRD657A,Del jjr,14.4
RFRFE59UMPRD657A,del tauru01,7.2
RFRFE59UMPRD657A,del tauru 04,2.4
RFRFE59UMPRD657A,noi gtm,11
RFRFE59UMPRD657A,Guwahati,3
RFRFE59UMPRD657A,hyd kpr,23.5
RFRFE59UMPRD657A,hyd mrb02,14.1
RFRFE59UMPRD657A,hyd mrb03,9.4
RFRFE59UMPRD657A,kol hoogly,22.2
RFRFE59UMPRD657A,kol mlb,14.8
RFRFE59UMPRD657A,lko ntk,4
RFRFE59UMPRD657A,Patna,8
RFRFE59UMPRD657A,cjb mdk,12
RFRFE59UMPRD657A,luh mdp,12
RFRFG25SZZV9SBSN,ahd bla,10
RFRFG25SZZV9SBSN,blr anekal,24
RFRFG25SZZV9SBSN,blr jigni,16
RFRFG25SZZV9SBSN,mum ant,7
RFRFG25SZZV9SBSN,mum pdg,3
RFRFG25SZZV9SBSN,chn thv,15
RFRFG25SZZV9SBSN,Del jjr,30
RFRFG25SZZV9SBSN,del tauru01,15
RFRFG25SZZV9SBSN,del tauru 04,5
RFRFG25SZZV9SBSN,noi gtm,10
RFRFG25SZZV9SBSN,Guwahati,0
RFRFG25SZZV9SBSN,hyd kpr,20
RFRFG25SZZV9SBSN,hyd mrb02,12
RFRFG25SZZV9SBSN,hyd mrb03,8
RFRFG25SZZV9SBSN,kol hoogly,18
RFRFG25SZZV9SBSN,kol mlb,12
RFRFG25SZZV9SBSN,lko ntk,10
RFRFG25SZZV9SBSN,Patna,50
RFRFG25SZZV9SBSN,cjb mdk,10
RFRFG25SZZV9SBSN,luh mdp,10
RFRFG25SB9PMUZG4,ahd bla,10
RFRFG25SB9PMUZG4,blr anekal,24
RFRFG25SB9PMUZG4,blr jigni,16
RFRFG25SB9PMUZG4,mum ant,7
RFRFG25SB9PMUZG4,mum pdg,3
RFRFG25SB9PMUZG4,chn thv,15
RFRFG25SB9PMUZG4,Del jjr,30
RFRFG25SB9PMUZG4,del tauru01,15
RFRFG25SB9PMUZG4,del tauru 04,5
RFRFG25SB9PMUZG4,noi gtm,10
RFRFG25SB9PMUZG4,Guwahati,0
RFRFG25SB9PMUZG4,hyd kpr,20
RFRFG25SB9PMUZG4,hyd mrb02,12
RFRFG25SB9PMUZG4,hyd mrb03,8
RFRFG25SB9PMUZG4,kol hoogly,18
RFRFG25SB9PMUZG4,kol mlb,12
RFRFG25SB9PMUZG4,lko ntk,10
RFRFG25SB9PMUZG4,Patna,50
RFRFG25SB9PMUZG4,cjb mdk,10
RFRFG25SB9PMUZG4,luh mdp,10
RFRFFGWARYJJBFSG,ahd bla,34
RFRFFGWARYJJBFSG,blr anekal,21
RFRFFGWARYJJBFSG,blr jigni,14
RFRFFGWARYJJBFSG,mum ant,7
RFRFFGWARYJJBFSG,mum pdg,3
RFRFFGWARYJJBFSG,chn thv,10
RFRFFGWARYJJBFSG,Del jjr,63
RFRFFGWARYJJBFSG,del tauru01,31.5
RFRFFGWARYJJBFSG,del tauru 04,10.5
RFRFFGWARYJJBFSG,noi gtm,14
RFRFFGWARYJJBFSG,Guwahati,0
RFRFFGWARYJJBFSG,hyd kpr,2.5
RFRFFGWARYJJBFSG,hyd mrb02,1.5
RFRFFGWARYJJBFSG,hyd mrb03,1
RFRFFGWARYJJBFSG,kol hoogly,12
RFRFFGWARYJJBFSG,kol mlb,8
RFRFFGWARYJJBFSG,lko ntk,5
RFRFFGWARYJJBFSG,Patna,5
RFRFFGWARYJJBFSG,cjb mdk,5
RFRFFGWARYJJBFSG,luh mdp,0
RFRF3HZZVQ4AHRZF,ahd bla,30
RFRF3HZZVQ4AHRZF,blr anekal,18
RFRF3HZZVQ4AHRZF,blr jigni,12
RFRF3HZZVQ4AHRZF,mum ant,10.5
RFRF3HZZVQ4AHRZF,mum pdg,4.5
RFRF3HZZVQ4AHRZF,chn thv,6
RFRF3HZZVQ4AHRZF,Del jjr,7.2
RFRF3HZZVQ4AHRZF,del tauru01,3.6
RFRF3HZZVQ4AHRZF,del tauru 04,1.2
RFRF3HZZVQ4AHRZF,noi gtm,7
RFRF3HZZVQ4AHRZF,Guwahati,18
RFRF3HZZVQ4AHRZF,hyd kpr,30.5
RFRF3HZZVQ4AHRZF,hyd mrb02,18.3
RFRF3HZZVQ4AHRZF,hyd mrb03,12.2
RFRF3HZZVQ4AHRZF,kol hoogly,2.4
RFRF3HZZVQ4AHRZF,kol mlb,1.6
RFRF3HZZVQ4AHRZF,lko ntk,6
RFRF3HZZVQ4AHRZF,Patna,11
RFRF3HZZVQ4AHRZF,cjb mdk,7
RFRF3HZZVQ4AHRZF,luh mdp,0
RFRF7ZXYXHYZNMY7,ahd bla,17
RFRF7ZXYXHYZNMY7,blr anekal,10.2
